Party,Spectrum
AGIR,Centro
AVANTE,Centro
CIDADANIA,Centro-esquerda
DC,Centro-direita
DEM,Centro-direita
MDB,Centro
MOBILIZA,Centro-direita
NOVO,Direita
PATRIOTA,Direita
PCB,Extrema-esquerda
PC do B,Esquerda
PCO,Extrema-esquerda
PDT,Centro-esquerda
PHS,Centro-direita
PL,Centro-direita
PMB,Centro-direita
PMDB,Centro
PMN,Centro-direita
PODE,Centro-direita
PP,Centro-direita
PPL,Centro-esquerda
PPS,Centro
PR,Direita
PRB,Direita
PRTB,Extrema-direita
PRD,Direita
PROS,Centro-esquerda
PRP,Centro-direita
PSB,Centro-esquerda
PSC,Extrema-direita
PSD,Centro
PSDC,Direita
PSDB,Centro
PSL,Direita
PSOL,Esquerda
PSTU,Extrema-esquerda
PT,Esquerda
PT do B,Centro
PTB,Extrema-direita
PTC,Direita
PTN,Direita
PV,Centro-esquerda
REDE,Centro-esquerda
REPUBLICANOS,Direita
SD,Esquerda
SOLIDARIEDADE,Centro-esquerda
UNIÃO,Centro-direita
UP,Extrema-esquerda
PRD,Direita
